recv,a_score,v_score,mid_aurora,fair_a,gap
1789924613.064312,2,0,,0.79,
1789924614.061636,2,0,0.555,0.79,-0.235
1789924614.062141,2,0,,0.79,
1789924620.061585,2,0,0.555,0.79,-0.235
1789924620.062091,2,0,,0.79,
1789924620.066635,2,0,0.55,0.79,-0.24
1789924620.072208,2,0,0.545,0.79,-0.245
1789924620.072768,2,0,,0.79,
1789924623.067423,2,0,0.53,0.79,-0.26
1789924623.06793,2,0,,0.79,
1789924623.068942,2,0,0.53,0.79,-0.26
1789924624.084043,2,0,0.535,0.79,-0.255
1789924624.084547,2,0,,0.79,
1789924625.197918,2,0,0.53,0.79,-0.26
1789924625.198426,2,0,,0.79,
1789924628.070584,2,0,0.515,0.79,-0.275
1789924629.065607,2,0,0.515,0.79,-0.275
1789924629.066112,2,0,,0.79,
1789924631.075204,2,0,0.515,0.79,-0.275
1789924631.075708,2,0,,0.79,
1789924632.060202,2,0,0.525,0.79,-0.265
1789924632.060708,2,0,,0.79,
1789924634.059406,2,0,0.525,0.79,-0.265
1789924635.060332,2,0,0.525,0.79,-0.265
1789924635.060844,2,0,,0.79,
1789924638.056889,2,0,0.53,0.79,-0.26
1789924638.057396,2,0,,0.79,
1789924641.058148,2,0,0.525,0.79,-0.265
1789924641.063246,2,0,0.525,0.79,-0.265
1789924642.06539,2,0,0.53,0.79,-0.26
1789924644.070473,2,0,0.53,0.79,-0.26
1789924644.070977,2,0,,0.79,
1789924646.055695,2,0,0.53,0.79,-0.26
1789924646.056694,2,0,,0.79,
1789924648.064409,2,0,0.53,0.79,-0.26
1789924648.064913,2,0,,0.79,
1789924651.076141,2,0,0.505,0.79,-0.285
1789924651.076734,2,0,,0.79,
1789924653.404521,2,0,0.51,0.79,-0.28
1789924653.440603,2,0,,0.79,
1789924655.057796,2,0,0.505,0.79,-0.285
1789924655.058302,2,0,,0.79,
1789924655.062868,2,0,0.5,0.79,-0.29
1789924655.06337,2,0,,0.79,
1789924656.059449,2,0,0.505,0.79,-0.285
1789924656.059954,2,0,,0.79,
1789924658.05632,2,0,0.51,0.79,-0.28
1789924658.056826,2,0,,0.79,
1789924661.078975,2,0,0.51,0.79,-0.28
1789924661.079479,2,0,,0.79,
1789924662.098345,2,0,0.545,0.79,-0.245
1789924662.09885,2,0,,0.79,
1789924663.150609,2,0,0.545,0.79,-0.245
1789924663.151118,2,0,,0.79,
1789924665.068916,2,0,0.545,0.79,-0.245
1789924667.072779,2,2,0.535,0.614,-0.079
1789924667.073287,2,2,,0.614,
1789924675.065741,2,2,0.555,0.614,-0.059
1789924675.066759,2,2,,0.614,
1789924680.064393,2,2,0.555,0.614,-0.059
1789924680.064901,2,2,,0.614,
1789924681.090765,2,2,0.56,0.614,-0.054
1789924683.064746,2,2,0.56,0.614,-0.054
1789924683.065251,2,2,,0.614,
1789924690.056625,2,2,0.555,0.614,-0.059
1789924690.057134,2,2,,0.614,
1789924693.061664,2,2,0.56,0.614,-0.054
1789924693.062181,2,2,,0.614,
1789924713.060017,2,2,0.555,0.614,-0.059
1789924713.060526,2,2,,0.614,
1789924716.062243,2,2,0.54,0.614,-0.074
1789924716.062746,2,2,,0.614,
1789924717.331063,2,2,0.53,0.614,-0.084
1789924717.332071,2,2,,0.614,
1789924718.057677,2,2,0.535,0.614,-0.079
1789924724.05617,2,2,0.545,0.614,-0.069
1789924724.056672,2,2,,0.614,
1789924733.058417,2,2,0.545,0.614,-0.069
1789924733.05892,2,2,,0.614,
1789924741.057841,2,2,0.55,0.614,-0.064
1789924741.058347,2,2,,0.614,
1789924741.215681,2,2,0.55,0.614,-0.064
1789924747.062184,2,3,0.555,0.495,0.06
1789924749.064791,2,3,0.555,0.495,0.06
1789924749.065298,2,3,,0.495,
1789924751.058791,2,3,0.56,0.495,0.065
1789924751.059295,2,3,,0.495,
1789924753.05628,2,3,0.56,0.495,0.065
1789924753.056782,2,3,,0.495,
1789924755.058553,2,3,0.575,0.495,0.08
1789924758.059804,2,3,0.545,0.495,0.05
1789924769.068157,2,3,0.535,0.495,0.04
1789924769.068661,2,3,,0.495,
1789924772.057892,2,3,0.53,0.495,0.035
1789924772.062978,2,3,0.53,0.495,0.035
1789924772.216539,2,3,0.53,0.495,0.035
1789924772.217046,2,3,,0.495,
