t,bid_x,bid_sz_x,ask_x,ask_sz_x,bid_y,bid_sz_y,ask_y,ask_sz_y,ask_sum,bid_sum,ask_profit,bid_profit,viol,persist
2026-09-20 16:53:06.196793+00:00,0.99,163747.2,0.88,0.0,0.12,0.0,0.01,163747.2,0.89,1.1099999999999999,0.0,0.0,True,155
2026-09-20 16:53:08.135588+00:00,0.99,163592.04,0.88,0.0,0.12,0.0,0.01,163747.2,0.89,1.1099999999999999,0.0,0.0,True,154
2026-09-20 16:53:08.136098+00:00,0.99,163592.04,0.88,0.0,0.12,0.0,0.01,163592.04,0.89,1.1099999999999999,0.0,0.0,True,153
2026-09-20 16:53:13.145433+00:00,0.99,163465.42,0.88,0.0,0.12,0.0,0.01,163592.04,0.89,1.1099999999999999,0.0,0.0,True,152
2026-09-20 16:53:13.145940+00:00,0.99,163465.42,0.88,0.0,0.12,0.0,0.01,163465.42,0.89,1.1099999999999999,0.0,0.0,True,151
2026-09-20 16:53:20.125457+00:00,0.99,168443.86,0.88,0.0,0.12,0.0,0.01,168443.86,0.89,1.1099999999999999,0.0,0.0,True,150
2026-09-20 16:53:20.228868+00:00,0.99,168264.9,0.88,0.0,0.12,0.0,0.01,168264.9,0.89,1.1099999999999999,0.0,0.0,True,149
2026-09-20 16:53:21.119738+00:00,0.99,168225.5,0.88,0.0,0.12,0.0,0.01,168264.9,0.89,1.1099999999999999,0.0,0.0,True,148
2026-09-20 16:53:21.230718+00:00,0.99,168225.5,0.88,0.0,0.12,0.0,0.01,168225.5,0.89,1.1099999999999999,0.0,0.0,True,147
2026-09-20 16:53:31.083612+00:00,0.99,167966.5,0.88,0.0,0.12,0.0,0.01,168225.5,0.89,1.1099999999999999,0.0,0.0,True,146
2026-09-20 16:53:31.084120+00:00,0.99,167966.5,0.88,0.0,0.12,0.0,0.01,167966.5,0.89,1.1099999999999999,0.0,0.0,True,145
2026-09-20 16:53:33.152100+00:00,0.99,167866.5,0.88,0.0,0.12,0.0,0.01,167966.5,0.89,1.1099999999999999,0.0,0.0,True,144
2026-09-20 16:53:33.152605+00:00,0.99,167866.5,0.88,0.0,0.12,0.0,0.01,167866.5,0.89,1.1099999999999999,0.0,0.0,True,143
2026-09-20 16:53:41.090208+00:00,0.99,169090.5,0.88,0.0,0.12,0.0,0.01,167866.5,0.89,1.1099999999999999,0.0,0.0,True,142
2026-09-20 16:53:41.090715+00:00,0.99,169090.5,0.88,0.0,0.12,0.0,0.01,169090.5,0.89,1.1099999999999999,0.0,0.0,True,141
2026-09-20 16:53:48.125524+00:00,0.99,168894.61,0.88,0.0,0.12,0.0,0.01,169090.5,0.89,1.1099999999999999,0.0,0.0,True,140
2026-09-20 16:53:48.126030+00:00,0.99,168894.61,0.88,0.0,0.12,0.0,0.01,168894.61,0.89,1.1099999999999999,0.0,0.0,True,139
2026-09-20 16:53:53.090967+00:00,0.99,168794.61,0.88,0.0,0.12,0.0,0.01,168894.61,0.89,1.1099999999999999,0.0,0.0,True,138
2026-09-20 16:53:53.091476+00:00,0.99,168794.61,0.88,0.0,0.12,0.0,0.01,168794.61,0.89,1.1099999999999999,0.0,0.0,True,137
2026-09-20 16:53:58.194270+00:00,0.99,168785.99,0.88,0.0,0.12,0.0,0.01,168794.61,0.89,1.1099999999999999,0.0,0.0,True,136
2026-09-20 16:53:58.194780+00:00,0.99,168785.99,0.88,0.0,0.12,0.0,0.01,168785.99,0.89,1.1099999999999999,0.0,0.0,True,135
2026-09-20 16:54:06.135143+00:00,0.99,168744.39,0.88,0.0,0.12,0.0,0.01,168785.99,0.89,1.1099999999999999,0.0,0.0,True,134
2026-09-20 16:54:06.135652+00:00,0.99,168744.39,0.88,0.0,0.12,0.0,0.01,168744.39,0.89,1.1099999999999999,0.0,0.0,True,133
2026-09-20 16:54:23.127280+00:00,0.99,172451.73,0.88,0.0,0.12,0.0,0.01,172451.73,0.89,1.1099999999999999,0.0,0.0,True,132
2026-09-20 16:54:23.160856+00:00,0.99,172340.66,0.88,0.0,0.12,0.0,0.01,172451.73,0.89,1.1099999999999999,0.0,0.0,True,131
2026-09-20 16:54:23.161364+00:00,0.99,172340.66,0.88,0.0,0.12,0.0,0.01,172340.66,0.89,1.1099999999999999,0.0,0.0,True,130
2026-09-20 16:54:26.128422+00:00,0.99,172296.07,0.88,0.0,0.12,0.0,0.01,172340.66,0.89,1.1099999999999999,0.0,0.0,True,129
2026-09-20 16:54:26.129440+00:00,0.99,172296.07,0.88,0.0,0.12,0.0,0.01,172296.07,0.89,1.1099999999999999,0.0,0.0,True,128
2026-09-20 16:54:28.124002+00:00,0.99,172207.45,0.88,0.0,0.12,0.0,0.01,172296.07,0.89,1.1099999999999999,0.0,0.0,True,127
2026-09-20 16:54:28.124509+00:00,0.99,172207.45,0.88,0.0,0.12,0.0,0.01,172207.45,0.89,1.1099999999999999,0.0,0.0,True,126
2026-09-20 16:54:44.083570+00:00,0.99,172107.45,0.88,0.0,0.12,0.0,0.01,172207.45,0.89,1.1099999999999999,0.0,0.0,True,125
2026-09-20 16:54:44.084080+00:00,0.99,172107.45,0.88,0.0,0.12,0.0,0.01,172107.45,0.89,1.1099999999999999,0.0,0.0,True,124
2026-09-20 16:54:47.084253+00:00,0.99,172032.45,0.88,0.0,0.12,0.0,0.01,172032.45,0.89,1.1099999999999999,0.0,0.0,True,123
2026-09-20 16:55:51.122403+00:00,0.99,171914.91,0.88,0.0,0.12,0.0,0.01,172032.45,0.89,1.1099999999999999,0.0,0.0,True,122
2026-09-20 16:55:51.122914+00:00,0.99,171914.91,0.88,0.0,0.12,0.0,0.01,171914.91,0.89,1.1099999999999999,0.0,0.0,True,121
2026-09-20 16:56:06.123318+00:00,0.99,171714.91,0.88,0.0,0.12,0.0,0.01,171914.91,0.89,1.1099999999999999,0.0,0.0,True,120
2026-09-20 16:56:06.123825+00:00,0.99,171714.91,0.88,0.0,0.12,0.0,0.01,171714.91,0.89,1.1099999999999999,0.0,0.0,True,119
2026-09-20 16:56:38.426149+00:00,0.999,1208163.2,0.88,0.0,0.12,0.0,0.001,1208158.2,0.881,1.119,0.0,0.0,True,118
2026-09-20 16:56:45.120617+00:00,0.999,1250153.36,0.88,0.0,0.12,0.0,0.001,1208158.2,0.881,1.119,0.0,0.0,True,117
2026-09-20 16:56:45.121122+00:00,0.999,1250153.36,0.88,0.0,0.12,0.0,0.001,1250153.36,0.881,1.119,0.0,0.0,True,116
2026-09-20 16:56:45.179070+00:00,0.999,1250136.7,0.88,0.0,0.12,0.0,0.001,1250136.7,0.881,1.119,0.0,0.0,True,115
2026-09-20 16:56:45.236564+00:00,0.999,1249999.72,0.88,0.0,0.12,0.0,0.001,1250136.7,0.881,1.119,0.0,0.0,True,114
2026-09-20 16:56:45.237070+00:00,0.999,1249999.72,0.88,0.0,0.12,0.0,0.001,1249999.72,0.881,1.119,0.0,0.0,True,113
2026-09-20 16:56:49.701004+00:00,0.999,1249958.72,0.88,0.0,0.12,0.0,0.001,1249999.72,0.881,1.119,0.0,0.0,True,112
2026-09-20 16:56:49.702014+00:00,0.999,1249958.72,0.88,0.0,0.12,0.0,0.001,1249958.72,0.881,1.119,0.0,0.0,True,111
2026-09-20 16:56:50.712701+00:00,0.999,1249058.72,0.88,0.0,0.12,0.0,0.001,1249958.72,0.881,1.119,0.0,0.0,True,110
2026-09-20 16:56:50.713214+00:00,0.999,1249058.72,0.88,0.0,0.12,0.0,0.001,1249058.72,0.881,1.119,0.0,0.0,True,109
2026-09-20 16:56:51.547463+00:00,0.999,1248977.21,0.88,0.0,0.12,0.0,0.001,1249058.72,0.881,1.119,0.0,0.0,True,108
2026-09-20 16:56:51.547969+00:00,0.999,1248977.21,0.88,0.0,0.12,0.0,0.001,1248977.21,0.881,1.119,0.0,0.0,True,107
2026-09-20 16:56:52.163944+00:00,0.999,1248744.66,0.88,0.0,0.12,0.0,0.001,1248977.21,0.881,1.119,0.0,0.0,True,106
2026-09-20 16:56:52.164448+00:00,0.999,1248744.66,0.88,0.0,0.12,0.0,0.001,1248744.66,0.881,1.119,0.0,0.0,True,105
2026-09-20 16:56:52.822691+00:00,0.999,1243697.85,0.88,0.0,0.12,0.0,0.001,1248744.66,0.881,1.119,0.0,0.0,True,104
2026-09-20 16:56:52.823204+00:00,0.999,1243697.85,0.88,0.0,0.12,0.0,0.001,1243697.85,0.881,1.119,0.0,0.0,True,103
2026-09-20 16:56:53.955035+00:00,0.999,1243688.38,0.88,0.0,0.12,0.0,0.001,1243688.38,0.881,1.119,0.0,0.0,True,102
2026-09-20 16:56:54.920537+00:00,0.999,1239474.42,0.88,0.0,0.12,0.0,0.001,1243688.38,0.881,1.119,0.0,0.0,True,101
2026-09-20 16:56:54.921125+00:00,0.999,1239474.42,0.88,0.0,0.12,0.0,0.001,1239474.42,0.881,1.119,0.0,0.0,True,100
2026-09-20 16:56:55.447461+00:00,0.999,1239363.09,0.88,0.0,0.12,0.0,0.001,1239474.42,0.881,1.119,0.0,0.0,True,99
2026-09-20 16:56:55.447969+00:00,0.999,1239363.09,0.88,0.0,0.12,0.0,0.001,1239363.09,0.881,1.119,0.0,0.0,True,98
2026-09-20 16:56:56.447122+00:00,0.999,1238990.83,0.88,0.0,0.12,0.0,0.001,1239363.09,0.881,1.119,0.0,0.0,True,97
2026-09-20 16:56:56.447628+00:00,0.999,1238990.83,0.88,0.0,0.12,0.0,0.001,1238990.83,0.881,1.119,0.0,0.0,True,96
2026-09-20 16:57:04.084487+00:00,0.999,1249436.65,0.88,0.0,0.12,0.0,0.001,1238990.83,0.881,1.119,0.0,0.0,True,95
2026-09-20 16:57:04.084990+00:00,0.999,1249436.65,0.88,0.0,0.12,0.0,0.001,1249436.65,0.881,1.119,0.0,0.0,True,94
2026-09-20 16:57:07.124597+00:00,0.999,1249271.04,0.88,0.0,0.12,0.0,0.001,1249436.65,0.881,1.119,0.0,0.0,True,93
2026-09-20 16:57:07.125616+00:00,0.999,1249271.04,0.88,0.0,0.12,0.0,0.001,1249271.04,0.881,1.119,0.0,0.0,True,92
2026-09-20 16:57:09.082860+00:00,0.999,1247616.04,0.88,0.0,0.12,0.0,0.001,1249271.04,0.881,1.119,0.0,0.0,True,91
2026-09-20 16:57:09.083375+00:00,0.999,1247616.04,0.88,0.0,0.12,0.0,0.001,1247616.04,0.881,1.119,0.0,0.0,True,90
2026-09-20 16:57:15.118938+00:00,0.999,1245779.02,0.88,0.0,0.12,0.0,0.001,1247616.04,0.881,1.119,0.0,0.0,True,89
2026-09-20 16:57:15.119445+00:00,0.999,1245779.02,0.88,0.0,0.12,0.0,0.001,1245779.02,0.881,1.119,0.0,0.0,True,88
2026-09-20 16:57:21.202222+00:00,0.999,1245777.14,0.88,0.0,0.12,0.0,0.001,1245779.02,0.881,1.119,0.0,0.0,True,87
2026-09-20 16:57:21.203731+00:00,0.999,1245777.14,0.88,0.0,0.12,0.0,0.001,1245777.14,0.881,1.119,0.0,0.0,True,86
2026-09-20 16:57:28.080426+00:00,0.999,1244666.14,0.88,0.0,0.12,0.0,0.001,1245777.14,0.881,1.119,0.0,0.0,True,85
2026-09-20 16:57:28.080938+00:00,0.999,1244666.14,0.88,0.0,0.12,0.0,0.001,1244666.14,0.881,1.119,0.0,0.0,True,84
2026-09-20 16:57:37.130843+00:00,0.999,1174160.73,0.88,0.0,0.12,0.0,0.001,1244666.14,0.881,1.119,0.0,0.0,True,83
2026-09-20 16:57:37.131346+00:00,0.999,1174160.73,0.88,0.0,0.12,0.0,0.001,1174160.73,0.881,1.119,0.0,0.0,True,82
2026-09-20 16:57:43.116166+00:00,0.999,1110759.75,0.88,0.0,0.12,0.0,0.001,1174160.73,0.881,1.119,0.0,0.0,True,81
2026-09-20 16:57:43.117181+00:00,0.999,1110759.75,0.88,0.0,0.12,0.0,0.001,1110759.75,0.881,1.119,0.0,0.0,True,80
2026-09-20 16:58:00.145591+00:00,0.999,1020289.75,0.88,0.0,0.12,0.0,0.001,1110759.75,0.881,1.119,0.0,0.0,True,79
2026-09-20 16:58:00.146100+00:00,0.999,1020289.75,0.88,0.0,0.12,0.0,0.001,1020289.75,0.881,1.119,0.0,0.0,True,78
2026-09-20 16:58:06.120890+00:00,0.999,1019791.09,0.88,0.0,0.12,0.0,0.001,1020289.75,0.881,1.119,0.0,0.0,True,77
2026-09-20 16:58:06.121395+00:00,0.999,1019791.09,0.88,0.0,0.12,0.0,0.001,1019791.09,0.881,1.119,0.0,0.0,True,76
2026-09-20 16:58:10.122517+00:00,0.999,1019746.65,0.88,0.0,0.12,0.0,0.001,1019791.09,0.881,1.119,0.0,0.0,True,75
2026-09-20 16:58:10.123024+00:00,0.999,1019746.65,0.88,0.0,0.12,0.0,0.001,1019746.65,0.881,1.119,0.0,0.0,True,74
2026-09-20 16:58:13.089088+00:00,0.999,1019733.65,0.88,0.0,0.12,0.0,0.001,1019746.65,0.881,1.119,0.0,0.0,True,73
2026-09-20 16:58:13.089594+00:00,0.999,1019733.65,0.88,0.0,0.12,0.0,0.001,1019733.65,0.881,1.119,0.0,0.0,True,72
2026-09-20 16:58:16.143805+00:00,0.999,1019370.25,0.88,0.0,0.12,0.0,0.001,1019733.65,0.881,1.119,0.0,0.0,True,71
2026-09-20 16:58:16.144317+00:00,0.999,1019370.25,0.88,0.0,0.12,0.0,0.001,1019370.25,0.881,1.119,0.0,0.0,True,70
2026-09-20 16:58:29.118693+00:00,0.999,1019191.68,0.88,0.0,0.12,0.0,0.001,1019191.68,0.881,1.119,0.0,0.0,True,69
2026-09-20 16:58:33.120004+00:00,0.999,1018616.31,0.88,0.0,0.12,0.0,0.001,1019191.68,0.881,1.119,0.0,0.0,True,68
2026-09-20 16:58:33.120510+00:00,0.999,1018616.31,0.88,0.0,0.12,0.0,0.001,1018616.31,0.881,1.119,0.0,0.0,True,67
2026-09-20 16:58:35.136952+00:00,0.999,1018610.43,0.88,0.0,0.12,0.0,0.001,1018616.31,0.881,1.119,0.0,0.0,True,66
2026-09-20 16:58:35.137460+00:00,0.999,1018610.43,0.88,0.0,0.12,0.0,0.001,1018610.43,0.881,1.119,0.0,0.0,True,65
2026-09-20 16:58:55.126309+00:00,0.999,1018570.01,0.88,0.0,0.12,0.0,0.001,1018610.43,0.881,1.119,0.0,0.0,True,64
2026-09-20 16:58:55.126814+00:00,0.999,1018570.01,0.88,0.0,0.12,0.0,0.001,1018570.01,0.881,1.119,0.0,0.0,True,63
2026-09-20 16:59:03.167301+00:00,0.999,1018050.01,0.88,0.0,0.12,0.0,0.001,1018570.01,0.881,1.119,0.0,0.0,True,62
2026-09-20 16:59:03.168812+00:00,0.999,1018050.01,0.88,0.0,0.12,0.0,0.001,1018050.01,0.881,1.119,0.0,0.0,True,61
