key,mtime,map,y,is_ct,side_prior,pistol_rate_gap,fk_gap,tk_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,form_gap
hltv_2389658_104008_vitality_vs_aurora_m2_overpass,1770154090.0,de_overpass,1,0,0.4722222222222222,0.3010033444816054,0.024999999999999994,0.0,-0.1377358800907177,-0.2656182579744799,-0.03521611312867706,-0.032270979554288426,0.002460063743628338,-0.004465532738040179,-0.4128133593587102
hltv_2389660_104011_falcons_vs_mouz_m2_dust2,1770156369.0,de_dust2,1,0,0.4772727272727273,0.1650432900432901,0.013333333333333332,-0.010000000000000009,-0.14132877764989638,-0.028069227598007895,-0.10073826791229257,-0.017757317125748573,-0.008733722394297816,-0.01631837265055991,0.0038453369322621056
hltv_2389660_104011_falcons_vs_mouz_m2_dust2,1770156369.0,de_dust2,1,1,0.5227272727272727,0.1650432900432901,0.013333333333333332,-0.010000000000000009,-0.14132877764989638,-0.028069227598007895,-0.10073826791229257,-0.017757317125748573,-0.008733722394297816,-0.01631837265055991,0.0038453369322621056
hltv_2389661_104067_furia_vs_aurora_m2_mirage,1770395646.0,de_mirage,1,0,0.47916666666666663,-0.0892857142857143,-0.036666666666666695,-0.016666666666666677,0.03558520050015401,0.2423360223173217,-0.016629462420553465,0.04200627592290518,-0.003535776321154205,-0.04543904771024909,0.01222741069417078
hltv_2389661_104067_furia_vs_aurora_m2_mirage,1770395646.0,de_mirage,1,1,0.5208333333333334,-0.0892857142857143,-0.036666666666666695,-0.016666666666666677,0.03558520050015401,0.2423360223173217,-0.016629462420553465,0.04200627592290518,-0.003535776321154205,-0.04543904771024909,0.01222741069417078
hltv_2389664_104113_vitality_vs_mouz_m2_dust2,1770497948.0,de_dust2,0,0,0.47916666666666663,0.012626262626262597,0.08333333333333334,0.05,-0.2929839607226858,-0.2167239258229659,0.03227052012910947,0.028454436463309363,0.07410013754376038,0.0497740073105048,0.5241295893923535
hltv_2389664_104113_vitality_vs_mouz_m2_dust2,1770497948.0,de_dust2,1,1,0.5208333333333334,0.012626262626262597,0.08333333333333334,0.05,-0.2929839607226858,-0.2167239258229659,0.03227052012910947,0.028454436463309363,0.07410013754376038,0.0497740073105048,0.5241295893923535
hltv_2389665_104123_spirit_vs_mouz_m2_mirage,1770560071.0,de_mirage,0,0,0.4807692307692307,-0.13157894736842107,-0.09642857142857143,-0.07857142857142857,0.3094454597681256,0.3453990221537513,-0.028735006168188137,0.0583147214391308,-0.07780209388996334,-0.01628581838536336,-0.282047569614549
hltv_2389665_104123_spirit_vs_mouz_m2_mirage,1770560071.0,de_mirage,0,1,0.5192307692307693,-0.13157894736842107,-0.09642857142857143,-0.07857142857142857,0.3094454597681256,0.3453990221537513,-0.028735006168188137,0.0583147214391308,-0.07780209388996334,-0.01628581838536336,-0.282047569614549
hltv_2389666_104141_furia_vs_vitality_m3_nuke,1770576742.0,de_nuke,0,0,0.5416666666666667,0.17448512585812354,-1.3877787807814457e-17,-0.014285714285714304,-0.15098947788166744,-0.020700530274176954,-0.07921428839695294,-0.05207360801638117,0.05823950941342271,-0.017101270847758532,-0.33685889847343337
