is_ct,form_gap,pistol_rate_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,y,mtime,key,map,p_cal
1,0.0669003827552592,0.0892857142857143,0.005192152904581637,0.03734694270806965,0.054331446243814696,-0.0016620345686073068,0.03332508093511838,-0.0051681597371617816,0,1778571931.2748108,hltv_2394141_107929_heroic_vs_magic_m3_inferno,de_inferno,0.5231172860649165
0,0.0669003827552592,0.0892857142857143,0.005192152904581637,0.03734694270806965,0.054331446243814696,-0.0016620345686073068,0.03332508093511838,-0.0051681597371617816,0,1778571931.2748108,hltv_2394141_107929_heroic_vs_magic_m3_inferno,de_inferno,0.5353527318357131
1,0.058585515964148224,-0.018771889627180793,-0.005471566158598229,-0.03918271819522773,-0.02221827781094421,-0.07059241353916917,-0.01054799942271989,-0.019065861959816743,1,1778572697.0140064,hltv_2394140_107930_mouz_vs_aurora_m2_nuke,de_nuke,0.55010046375871
0,0.058585515964148224,-0.018771889627180793,-0.005471566158598229,-0.03918271819522773,-0.02221827781094421,-0.07059241353916917,-0.01054799942271989,-0.019065861959816743,1,1778572697.0140064,hltv_2394140_107930_mouz_vs_aurora_m2_nuke,de_nuke,0.5647998321790966
1,0.0752391293891086,-0.1785714285714286,0.039675632385165804,0.13932139305429903,0.023617111783949596,-0.00023090646973344953,-0.02849942237262504,-0.0538686894149738,1,1778582284.1118712,hltv_2394143_107936_monte_vs_the_huns_m1_nuke,de_nuke,0.5532168624999256
0,0.0752391293891086,-0.1785714285714286,0.039675632385165804,0.13932139305429903,0.023617111783949596,-0.00023090646973344953,-0.02849942237262504,-0.0538686894149738,1,1778582284.1118712,hltv_2394143_107936_monte_vs_the_huns_m1_nuke,de_nuke,0.5703411955128604
0,0.0752391293891086,-0.009968102073365293,0.003157583688294774,0.048535464062716305,0.15499706385628814,0.3117671874249372,0.09856229640973962,0.13262958545186082,0,1778582286.1698887,hltv_2394143_107936_monte_vs_the_huns_m2_dust2,de_dust2,0.47321849870587046
1,0.0752391293891086,-0.009968102073365293,0.003157583688294774,0.048535464062716305,0.15499706385628814,0.3117671874249372,0.09856229640973962,0.13262958545186082,1,1778582286.1698887,hltv_2394143_107936_monte_vs_the_huns_m2_dust2,de_dust2,0.45423131744493234
0,-0.019266234918571025,0.017662399241346605,0.09214696912783082,0.12473576078919957,0.021842246862617154,0.02961993440089955,-0.007329454098536026,-0.02558894244637555,0,1778582293.947841,hltv_2394142_107935_the_mongolz_vs_falcons_m1_dust2,de_dust2,0.5276642208405613
1,-0.019266234918571025,0.017662399241346605,0.09214696912783082,0.12473576078919957,0.021842246862617154,0.02961993440089955,-0.007329454098536026,-0.02558894244637555,1,1778582293.947841,hltv_2394142_107935_the_mongolz_vs_falcons_m1_dust2,de_dust2,0.5125608790831743
1,-0.011404521783142763,0.017740429505135435,-0.0019084870804360055,0.0013713911325607953,0.027963991434891255,0.01282105173904835,0.01610870930752495,0.026817741758844882,1,1778582299.252955,hltv_2394142_107935_the_mongolz_vs_falcons_m2_inferno,de_inferno,0.5303255786193297
0,-0.011404521783142763,0.017740429505135435,-0.0019084870804360055,0.0013713911325607953,0.027963991434891255,0.01282105173904835,0.01610870930752495,0.026817741758844882,0,1778582299.252955,hltv_2394142_107935_the_mongolz_vs_falcons_m2_inferno,de_inferno,0.5450416990400414
1,0.0752391293891086,-0.007649938800489586,-0.0010482915065138654,-0.002516571712017912,-0.11784630281957525,-0.03758532512184304,-0.07045173666076998,-0.055104000048383395,1,1778583887.2559502,hltv_2394143_107936_monte_vs_the_huns_m3_mirage,de_mirage,0.6072171692171214
