key,y,mtime,form_a,form_b,c2_n_a,c2_n_b,c1_early_winrate_gap,c1_mid_winrate_gap,c1_early_alive_end_gap,c1_mid_alive_end_gap,c1_early_future_kill_gap,c1_mid_future_kill_gap,c2_early_winrate_gap,c2_mid_winrate_gap,c2_early_alive_end_gap,c2_mid_alive_end_gap,c2_early_future_kill_gap,c2_mid_future_kill_gap
hltv_2394147_107971_monte_vs_g2_m1_ancient,1,1778662727.5100648,0.014859114403749905,-0.44830526678465676,5,5,-0.008056651573719376,0.04980771168473197,0.1544875320155516,0.17692506733533475,0.06886303527246962,0.09299053116161177,-0.012214998604306526,0.012241466891651731,0.02814146212998231,0.022089345437651176,0.01152886095632194,0.011892168190626995
hltv_2394147_107971_monte_vs_g2_m2_dust2,1,1778662735.2993798,0.014859114403749905,-0.44830526678465676,5,5,0.008038492936759956,-0.043310552640784095,-0.00920295392920284,0.08604503945757547,-0.007773131615946671,0.022926789295191208,-0.015459328150347562,0.012449210884302897,0.03581844351297514,0.037210219495419805,0.01622411199011453,0.01956150916831617
hltv_2394148_107977_the_mongolz_vs_aurora_m2_mirage,1,1778673809.0197887,0.019772037369440245,0.0013074745815525484,5,5,-0.00014863498970879574,-0.01798851204480245,0.1405640631913842,0.20321778595235093,0.07682751177637709,0.04790172551957261,-0.007633170134583089,-0.023219188174661287,-0.001760778313390443,-0.0008305155798121744,0.006194982401418969,0.0066791441362746284
hltv_2394148_107977_the_mongolz_vs_aurora_m1_overpass,1,1778673818.1057541,0.023516308283321817,-0.00463451429906132,5,5,0.05171473304006963,0.007005386876324737,-0.13307020262425429,-0.18650084283157203,-0.05241113366563316,-0.07921218920156903,-0.004381079507211005,-0.021316479131744004,0.000296262181055551,0.002742230075222285,0.0065666983066018925,0.007844184661864484
hltv_2394165_107988_b8_vs_fut_m1_ancient,1,1778688773.0,-0.025183570786961016,0.005598335125421055,5,5,-0.008392400304016112,-0.011534131632402467,0.01578586499157192,-0.08222945861405528,0.004481463872003599,0.005928360993330051,0.016046581292189277,-0.005780992158729514,0.0036949325554589407,-0.0068099255977867035,-0.0006913214885073127,-0.004512441538282952
hltv_2394165_107988_b8_vs_fut_m2_overpass,1,1778693046.0,-0.012666413803683359,-0.006671138817022535,5,5,-0.06967057249985437,-0.023439009580875025,0.05687819622317186,0.21396637708157668,-0.002488392304514586,0.08908826562735156,0.015849216615976658,-0.00518948282574605,0.0027830995413475335,-0.008254105583362925,-0.0011225463611891362,-0.004689553830165005
hltv_2394166_107989_faze_vs_vitality_m2_dust2,1,1778693798.0,0.23576317932630422,-0.09439675898006736,5,5,-0.004976853179669782,0.02091952787339757,-0.02921972799029482,-0.09877246959899871,-0.02985821452742088,-0.06401627095083351,-0.05906333958669485,-0.04338947313937397,0.034166160498271925,0.04769990523584927,0.029081629301753287,0.03316247758029772
hltv_2394167_107993_sinners_vs_astralis_m1_mirage,1,1778698433.0,-0.03457134406508867,,5,5,-0.008920509852157199,0.008773212557271592,-0.13628830194347197,-0.10820397096904388,-0.038124280921288334,-0.052895206448232035,-0.07907389199364095,-0.11414676001170942,-0.017930158131607088,-0.0014848097876360433,0.014237799823663244,0.00356048320095137
hltv_2394168_107992_gamerlegion_vs_liquid_m2_nuke,1,1778701546.0,-0.15006069457573323,-0.16507975035944858,5,5,0.0050733208114274175,0.07428185950050975,-0.13616700067276388,-0.12970957214232037,-0.07956259539629928,-0.09087186302130035,-0.05743421514529212,-0.051576184832328786,0.011042565747336364,0.003131601215843327,0.012216292569018627,0.018352098137470074
hltv_2394170_107998_b8_vs_vitality_m1_mirage,1,1778706839.0,0.23659958882402568,-0.00961545869944198,5,5,0.0027938384612349876,-0.027697664246707665,0.23110537311916798,0.1708943131178121,0.14408566501905712,0.11071392578143535,0.042962693403026775,0.032724977064781946,0.03823820472574968,0.05384528208028383,0.007572391596145589,0.020886522289200238
hltv_2394170_107998_b8_vs_vitality_m2_dust2,1,1778710518.0,0.24123877629216442,-0.026080875552792433,5,5,0.005361096780864494,0.11344717413447636,0.2274284042294547,0.22648491046461533,0.11501394786344982,0.08720388694644066,0.04523223982474578,0.03174253774690705,0.04174135750937702,0.056093757768512775,0.009187825869555633,0.02157151806703128
hltv_2394169_107999_betboom_vs_pain_m2_nuke,1,1778710955.0,-0.41079845408352694,0.0670107102829603,5,5,0.0041288858302032105,-0.007008986734652056,-0.017375621085360116,-0.22648682012534682,-0.021113141720475015,-0.06368761441439863,0.10721409217053501,0.054365228991550385,-0.004526698437188448,-0.0047356259290913805,-0.03321986051593928,-0.014756475917071077
hltv_2394172_108000_gamerlegion_vs_astralis_m1_mirage,1,1778715231.0,-0.15006069457573323,-0.030435064267140825,5,5,0.018381998467894678,0.05231347453205504,0.1003903092896749,0.10975105297880694,0.0328463216617052,0.052751109627412696,0.021177306238961968,0.001958845776003415,-0.01063395674983686,-0.023007259907692756,-0.010842732144983713,-0.005638552915939676
hltv_2394171_108002_natus_vincere_vs_legacy_m1_inferno,0,1778718777.0,0.0458095360312942,0.3113136769850579,5,5,-0.014344159463306694,-0.01722766591940489,0.09719936626830783,0.23094317922115562,0.08218082088802897,0.12995515248798506,0.012784683748261916,0.08202302445732979,-0.0329658979327499,-0.011224418673128678,-0.011941555669028325,-0.007334210237330163
hltv_2394172_108000_gamerlegion_vs_astralis_m2_ancient,1,1778718899.0,-0.09407255588397496,-0.04228272115937763,5,5,-0.008176132943401693,0.02860454576381055,-0.008280600438211161,0.06200433503265301,-0.016773889547242404,0.031167851025251436,0.015496800339240002,0.009562048574266568,-0.007786065028915878,-0.01368283284433025,-0.006883308448940695,-0.0028293623308290328
hltv_2394171_108002_natus_vincere_vs_legacy_m2_ancient,1,1778722331.0,0.04620103415391699,0.17131848344962372,5,5,0.016862220740046174,-0.0036859210626312144,0.21010652277024144,0.20188056060891083,0.11477197940234851,0.11120435777750948,0.004172890843549659,0.07326280613290925,-0.03284835930606084,-0.009931544809842263,-0.006926180662887582,-0.008069087737989644
hltv_2394149_108024_mouz_vs_aurora_m1_dust2,0,1778826200.8691208,0.022347298691996618,-0.00947874395454377,5,5,0.014389174085470136,0.08281051923789884,0.16221063941702873,0.14701926029121032,0.08298092546392283,0.07271837926920471,-0.023862739499651786,-0.02111988788453245,0.00678561648228837,-0.0007365204389841451,0.011224544844267659,0.010763079586943003
hltv_2394149_108024_mouz_vs_aurora_m2_nuke,0,1778829476.3772542,0.019574603124629702,-0.000977995187976737,5,5,-0.009937151307012337,-0.0684617893616537,0.018648713305568998,0.048186419888420096,0.033440251584356984,0.04710671083570234,-0.028188805105080372,-0.023068879378204787,0.006262808964895672,-0.001493064179665271,0.012000487092383771,0.01166666029802138
hltv_2394151_108031_9z_vs_magic_m2_mirage,1,1778855899.1071777,-0.03118292743668794,-0.23841102344499823,5,5,-0.001162884621688176,-0.04836020271563424,0.27718735150438756,0.16281314933720975,0.1664025137257965,0.11810183359805526,-0.02890600691505496,-0.025146095134213287,-0.014360726303941196,-0.021581916742098806,0.019127683615385915,-0.0006930345064304899
hltv_2394151_108031_9z_vs_magic_m1_dust2,0,1778855917.0391116,-0.03118292743668794,-0.23841102344499823,5,5,0.0016588334919471759,0.010545411528726123,-0.14852603255664182,-0.2091820358704049,-0.08509048129122015,-0.1309961112378697,-0.018979827572874308,-0.024837340731813484,0.009779549711259938,-0.00261740580677039,0.028341944396381547,0.008375052060024979
hltv_2394152_108042_furia_vs_falcons_m2_nuke,0,1778871908.7960496,0.08310646792754772,-0.0021208915691376244,5,5,0.02525787059900153,0.06522751983687813,0.20143141490480643,0.22514417379628152,0.09246693131214462,0.1122141995683178,-0.055615576345968254,-0.036663905430998345,0.0016478065568767408,0.0005115485240336781,0.012561591758736557,0.011870984069409563
hltv_2394152_108042_furia_vs_falcons_m3_dust2,0,1778875513.4945235,0.08137632638081257,-0.006385717740189116,5,5,-0.03578411873972065,-0.06263834021869003,0.0341762541344533,0.051026542560515364,0.04325290085581229,0.0763374238083675,-0.054664119032451164,-0.036081176112979174,0.002726137063445988,0.0015643338353352187,0.012654945413501484,0.01184669479699385
hltv_2394153_108057_mouz_vs_spirit_m2_nuke,0,1778931068.2829156,0.008230499136515444,0.10419827769087293,5,5,0.01242973555414878,0.018504778864651517,-0.14950689461712174,-0.22353480108981721,-0.11243029327745313,-0.1268354987037018,0.033359103615825725,-0.015177542424924972,-0.0056101873466141705,-0.01007601990378243,-0.012969139725790169,-0.01373903667362536
hltv_2394154_108061_magic_vs_falcons_m1_ancient,1,1778941668.255329,-0.010650988263316405,-0.23841102344499823,5,5,0.02150962840720938,-0.03654419694438016,0.009940826647060086,-0.06540746761078692,0.02899817795667864,-0.004107301261218721,0.019472934694429234,0.03363926516187865,0.008151574833503705,0.004643040667185017,0.0196692491704481,1.685538403684017e-05
hltv_2394154_108061_magic_vs_falcons_m2_dust2,1,1778942670.7816467,-0.005126755746345627,-0.18526706702371137,5,5,-0.0012426861234331454,0.021106405939907147,0.25008903666192867,0.4069314334823607,0.12455911414989007,0.1788254119479526,0.01306186299989398,0.024868648582497155,0.010967143240809385,0.006406177066689334,0.021202378256231225,0.0039043077337519994
hltv_2394175_108078_betboom_vs_natus_vincere_m2_nuke,1,1778971775.0,0.05024421223813105,0.0670107102829603,5,5,-0.012174027130582021,0.011954344264639677,0.13128640590477747,0.28469936130224527,0.07539626288048024,0.1260029427972731,0.06609901627599896,0.060762574494964694,0.015345897410519838,0.035002469617534115,-0.02034565332917293,-0.008969697432887391
hltv_2394155_108081_mouz_vs_magic_m2_inferno,1,1779010741.801478,-0.022649051782388425,-0.34945943214802416,5,5,0.007642957198693345,-0.0015079174535663764,0.09388003447713422,0.0317114511645607,0.035122302797460925,0.030792180786521017,0.004169991034719045,-0.00528682923097884,0.002570917187944999,-0.002541353380388467,0.022350277787526518,0.006019826638590742
