key,mtime,y,is_ct,pistol_rate_gap,pistol_rate_top,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,cpist_early_winrate,cpist_mid_winrate,cpist_early_alive_end,cpist_mid_alive_end,cpist_early_future_kill,cpist_mid_future_kill,form_gap
hltv_2389658_104008_vitality_vs_aurora_m2_overpass,1770154090.0,0,1,0.3010033444816054,0.6086956521739131,-0.1377358800907177,-0.26561825797448,-0.03521611312867695,-0.032270979554288426,0.002460063743628338,-0.004465532738040179,0.0503636410297601,-0.11490317310365677,0.09305764667801247,0.10096322016982573,-0.009274430260416522,0.06654861050249294,-0.4128133593587102
hltv_2389658_104008_vitality_vs_aurora_m2_overpass,1770154090.0,1,0,0.3010033444816054,0.6086956521739131,-0.1377358800907177,-0.26561825797448,-0.03521611312867695,-0.032270979554288426,0.002460063743628338,-0.004465532738040179,0.0503636410297601,-0.11490317310365677,0.09305764667801247,0.10096322016982573,-0.009274430260416522,0.06654861050249294,-0.4128133593587102
hltv_2389660_104011_falcons_vs_mouz_m2_dust2,1770156369.0,1,0,0.1650432900432901,0.5757575757575758,-0.14132877764989638,-0.028069227598008006,-0.10073826791229257,-0.017757317125748573,-0.008733722394297816,-0.01631837265055991,-0.04665820346873362,-0.07931381905947776,-0.025394811507654325,-0.12111969360053401,0.02165701293647526,-0.012717481658999052,0.0038453369322621056
hltv_2389660_104011_falcons_vs_mouz_m2_dust2,1770156369.0,1,1,0.1650432900432901,0.5757575757575758,-0.14132877764989638,-0.028069227598008006,-0.10073826791229257,-0.017757317125748573,-0.008733722394297816,-0.01631837265055991,-0.04665820346873362,-0.07931381905947776,-0.025394811507654325,-0.12111969360053401,0.02165701293647526,-0.012717481658999052,0.0038453369322621056
hltv_2389661_104067_furia_vs_aurora_m2_mirage,1770395646.0,1,0,-0.0892857142857143,0.5892857142857143,0.03558520050015401,0.2423360223173217,-0.016629462420553465,0.04200627592290518,-0.003535776321154316,-0.04543904771024909,0.08735479752157721,0.2438381741740664,-0.05201291149999698,0.05358404229381636,-0.007749070375975775,-0.03337323137662079,0.01222741069417078
hltv_2389661_104067_furia_vs_aurora_m2_mirage,1770395646.0,1,1,-0.0892857142857143,0.5892857142857143,0.03558520050015401,0.2423360223173217,-0.016629462420553465,0.04200627592290518,-0.003535776321154316,-0.04543904771024909,0.08735479752157721,0.2438381741740664,-0.05201291149999698,0.05358404229381636,-0.007749070375975775,-0.03337323137662079,0.01222741069417078
hltv_2389664_104113_vitality_vs_mouz_m2_dust2,1770497948.0,0,0,0.012626262626262597,0.3611111111111111,-0.2929839607226858,-0.2167239258229659,0.03227052012910947,0.028454436463309363,0.07410013754376032,0.0497740073105048,-0.33982699940270855,-0.19850844792916988,0.05583442312644593,-0.010890379884719859,0.037384488145510264,0.0035446135196399164,0.5241295893923535
hltv_2389664_104113_vitality_vs_mouz_m2_dust2,1770497948.0,1,1,0.012626262626262597,0.3611111111111111,-0.2929839607226858,-0.2167239258229659,0.03227052012910947,0.028454436463309363,0.07410013754376032,0.0497740073105048,-0.33982699940270855,-0.19850844792916988,0.05583442312644593,-0.010890379884719859,0.037384488145510264,0.0035446135196399164,0.5241295893923535
hltv_2389665_104123_spirit_vs_mouz_m2_mirage,1770560071.0,0,0,-0.13157894736842107,0.5,0.3094454597681256,0.3453990221537513,-0.028735006168188137,0.05831472143913086,-0.0778020938899634,-0.01628581838536336,0.29986154379999125,0.37103532046793153,-0.042068689010293314,0.06066980594171684,-0.06741676146960585,0.08846492004230122,-0.282047569614549
hltv_2389665_104123_spirit_vs_mouz_m2_mirage,1770560071.0,0,1,-0.13157894736842107,0.5,0.3094454597681256,0.3453990221537513,-0.028735006168188137,0.05831472143913086,-0.0778020938899634,-0.01628581838536336,0.29986154379999125,0.37103532046793153,-0.042068689010293314,0.06066980594171684,-0.06741676146960585,0.08846492004230122,-0.282047569614549
