event_id,round_num,streak_team,fade_team,kill_count,event_start_ts,decision_ts,entry_quote_ts,reaction_mid_change,reaction_threshold,triggered,entry_ask,timing_basis,horizon_seconds,exit_quote_ts,exit_bid,gross_pnl,net_pnl
13,13,NRG,MOUZ,2,1789640717.412,1789640717.677,1789640720.0105124,0.010000000000000009,0.03,False,0.47,source_update_version,15.0,1789640742.006699,0.46,-0.009999999999999953,-0.034874999999999955
13,13,NRG,MOUZ,2,1789640717.412,1789640717.677,1789640720.0105124,0.010000000000000009,0.03,False,0.47,source_update_version,30.0,1789640751.102483,0.46,-0.009999999999999953,-0.034874999999999955
13,13,NRG,MOUZ,2,1789640717.412,1789640717.677,1789640720.0105124,0.010000000000000009,0.03,False,0.47,source_update_version,60.0,1789640796.9979947,0.41,-0.06,-0.08454999999999999
13,13,NRG,MOUZ,2,1789640717.412,1789640717.677,1789640720.0105124,0.010000000000000009,0.03,False,0.47,source_update_version,120.0,1789640841.8653173,0.35,-0.12,-0.14382999999999999
14,13,NRG,MOUZ,2,1789640719.383,1789640720.448,1789640722.8879647,0.050000000000000044,0.03,True,0.47,source_update_version,15.0,1789640742.006699,0.46,-0.009999999999999953,-0.034874999999999955
14,13,NRG,MOUZ,2,1789640719.383,1789640720.448,1789640722.8879647,0.050000000000000044,0.03,True,0.47,source_update_version,30.0,1789640754.9940686,0.44,-0.02999999999999997,-0.054774999999999976
14,13,NRG,MOUZ,2,1789640719.383,1789640720.448,1789640722.8879647,0.050000000000000044,0.03,True,0.47,source_update_version,60.0,1789640796.9979947,0.41,-0.06,-0.08454999999999999
14,13,NRG,MOUZ,2,1789640719.383,1789640720.448,1789640722.8879647,0.050000000000000044,0.03,True,0.47,source_update_version,120.0,1789640852.0026495,0.34,-0.12999999999999995,-0.15367499999999995
15,14,MOUZ,NRG,2,1789640839.876,1789640844.932,1789640852.0026495,-0.010000000000000009,0.03,False,0.66,source_update_version,15.0,1789640867.1498725,0.65,-0.010000000000000009,-0.03259500000000001
15,14,MOUZ,NRG,2,1789640839.876,1789640844.932,1789640852.0026495,-0.010000000000000009,0.03,False,0.66,source_update_version,30.0,1789640897.996521,0.65,-0.010000000000000009,-0.03259500000000001
15,14,MOUZ,NRG,2,1789640839.876,1789640844.932,1789640852.0026495,-0.010000000000000009,0.03,False,0.66,source_update_version,60.0,1789640912.2140057,0.67,0.010000000000000009,-0.012274999999999989
15,14,MOUZ,NRG,2,1789640839.876,1789640844.932,1789640852.0026495,-0.010000000000000009,0.03,False,0.66,source_update_version,120.0,1789640974.8480568,0.73,0.06999999999999995,0.048924999999999955
16,14,NRG,MOUZ,3,1789640846.971,1789640847.933,1789640852.0026495,0.010000000000000009,0.03,False,0.35,source_update_version,15.0,1789640867.1498725,0.33,-0.019999999999999962,-0.042429999999999954
16,14,NRG,MOUZ,3,1789640846.971,1789640847.933,1789640852.0026495,0.010000000000000009,0.03,False,0.35,source_update_version,30.0,1789640897.996521,0.33,-0.019999999999999962,-0.042429999999999954
